,assists,clean_sheets,creativity,goals_scored,influence,kickoff_time,opponent_team,full,team,total_points,round
59,0,0,16.8,0,13.8,2020-02-01 15:00:00,Brighton,Aaron Cresswell,West Ham,1,25
60,0,0,11.4,0,20.4,2020-02-19 19:30:00,Man City,Aaron Cresswell,West Ham,1,26
61,0,0,1.5,0,14.4,2020-02-24 20:00:00,Liverpool,Aaron Cresswell,West Ham,1,27
62,0,0,18.9,0,5.6,2020-02-29 15:00:00,Southampton,Aaron Cresswell,West Ham,1,28
63,0,0,18.5,0,21.6,2020-03-07 15:00:00,Arsenal,Aaron Cresswell,West Ham,2,29
64,0,0,5.9,0,13.0,2020-06-20 16:30:00,Wolves,Aaron Cresswell,West Ham,1,30
65,0,0,44.4,0,16.0,2020-06-23 19:15:00,Tottenham,Aaron Cresswell,West Ham,1,31
66,0,0,1.3,0,8.6,2020-07-01 19:15:00,Chelsea,Aaron Cresswell,West Ham,1,32
67,0,0,30.2,0,19.0,2020-07-05 13:15:00,Newcastle United,Aaron Cresswell,West Ham,1,33
68,0,0,18.8,0,12.4,2020-07-08 17:00:00,Burnley,Aaron Cresswell,West Ham,2,34
69,0,1,40.2,0,14.6,2020-07-11 11:30:00,Norwich,Aaron Cresswell,West Ham,6,35
70,0,0,1.3,0,20.2,2020-07-17 19:00:00,Watford,Aaron Cresswell,West Ham,2,36
71,0,0,2.4,0,3.6,2020-07-22 17:00:00,Man Utd,Aaron Cresswell,West Ham,2,37
72,0,0,0.0,0,0.0,2020-07-26 15:00:00,Aston Villa,Aaron Cresswell,West Ham,0,38
73,0,0,0.0,0,2.0,2019-08-10 14:00:00,Southampton,Aaron Lennon,Burnley,1,1
74,0,0,0.3,0,1.4,2019-08-17 11:30:00,Arsenal,Aaron Lennon,Burnley,1,2
75,0,0,0.3,0,2.2,2019-08-25 15:30:00,Wolves,Aaron Lennon,Burnley,0,3
76,0,0,2.4,0,2.8,2019-08-31 16:30:00,Liverpool,Aaron Lennon,Burnley,2,4
